useID,ChipName,Capacity,EraseTime,PageSize,MemoryType,ChipType,ManufName,BlockSize,OTPSize,OTPAddr,NOTE,Voltage,ChipID,ChipPara,ChipPara1,Para1Note,ParaNote,Adder
1,"MX25L6433F",8388608,60000,256,"SPI FLASH","SPI FLASH","MXIC",4096,0,0,"8MB","3300","C22017",0,0,,,"YaoJie"
4,"W25Q64",8388608,60000,256,"SPI FLASH","SPI FLASH","WINBOND",4096,0,0,"8MB","3300","EF4017",0,0,,,"YaoJie"
10,"M95040",512,100000,16,"EEPROM","95 EEPROM","ST",16,0,0,"512B","5000","000000",0,0,,,"YaoJie"
11,"M95020",256,100000,16,"EEPROM","95 EEPROM","ST",16,0,0,"256B","5000","000000",0,0,,,"YaoJie"
12,"M95010",128,100000,16,"EEPROM","95 EEPROM","ST",16,0,0,"128B","5000","000000",0,0,,,"YaoJie"
14,"W25Q80BV",1048576,35000,256,"SPI FLASH","SPI FLASH","WINBOND",16,0,0,"1MB","3300","EF4014",0,0,,,"YaoJie"
15,"MX25L6434F",8388608,60000,256,"SPI FLASH","SPI FLASH","MXIC",4096,0,0,"8MB","3300","C22018",0,0,,,"YaoJie"
17,"SST25VF040B",524288,30000,256,"SPI FLASH","SPI FLASH","SST",4096,0,0,"512KB","3300","BF258D",18,0,,,"YaoJie"
23,"25Q32AL",4194304,50000,256,"SPI FLASH","SPI FLASH","BOYA",4096,0,0,"4MB","1800","686016",0,0,,,"YaoJie"
24,"SST25VF016B",2097152,40000,256,"SPI FLASH","SPI FLASH","SST",4096,0,0,"2MB","3300","BF2541",18,0,,,"YaoJie"
25,"A25L05PT",65536,15000,256,"SPI FLASH","SPI FLASH","AMIC",4096,0,0,"64KB","3300","372020",0,0,,,"YaoJie"
26,"A25L05PU",65536,15000,256,"SPI FLASH","SPI FLASH","AMIC",4096,0,0,"64KB","3300","372010",0,0,,,"YaoJie"
27,"A25L10PT",131072,20000,256,"SPI FLASH","SPI FLASH","AMIC",4096,0,0,"128KB","3300","372021",0,0,,,"YaoJie"
28,"A25L10PU",131072,20000,256,"SPI FLASH","SPI FLASH","AMIC",4096,0,0,"128KB","3300","372011",0,0,,,"YaoJie"
29,"A25L20PT",262144,25000,256,"SPI FLASH","SPI FLASH","AMIC",4096,0,0,"256KB","3300","372022",0,0,,,"YaoJie"
30,"A25L20PU",262144,25000,256,"SPI FLASH","SPI FLASH","AMIC",4096,0,0,"256KB","3300","372012",0,0,,,"YaoJie"
31,"A25L40PT",524288,30000,256,"SPI FLASH","SPI FLASH","AMIC",4096,0,0,"512KB","3300","372023",0,0,,,"YaoJie"
32,"A25L40PU",524288,30000,256,"SPI FLASH","SPI FLASH","AMIC",4096,0,0,"512KB","3300","372013",0,0,,,"YaoJie"
33,"A25L80PT",1048576,35000,256,"SPI FLASH","SPI FLASH","AMIC",4096,0,0,"1MB","3300","372024",0,0,,,"YaoJie"
34,"A25L80PU",1048576,35000,256,"SPI FLASH","SPI FLASH","AMIC",4096,0,0,"1MB","3300","372014",0,0,,,"YaoJie"
35,"A25L16PT",2097152,40000,256,"SPI FLASH","SPI FLASH","AMIC",4096,0,0,"2MB","3300","372025",0,0,,,"YaoJie"
36,"A25L16PU",2097152,40000,256,"SPI FLASH","SPI FLASH","AMIC",4096,0,0,"2MB","3300","372015",0,0,,,"YaoJie"
37,"A25L512",65536,15000,256,"SPI FLASH","SPI FLASH","AMIC",4096,0,0,"64KB","3300","373010",0,0,,,"YaoJie"
38,"A25L010",131072,20000,256,"SPI FLASH","SPI FLASH","AMIC",4096,0,0,"128KB","3300","373011",0,0,,,"YaoJie"
39,"A25L020",262144,25000,256,"SPI FLASH","SPI FLASH","AMIC",4096,0,0,"256KB","3300","373012",0,0,,,"YaoJie"
40,"A25L040",524288,30000,256,"SPI FLASH","SPI FLASH","AMIC",4096,0,0,"512KB","3300","373013",0,0,,,"YaoJie"
41,"A25L080",1048576,35000,256,"SPI FLASH","SPI FLASH","AMIC",4096,0,0,"1MB","3300","373014",0,0,,,"YaoJie"
42,"A25L016",2097152,40000,256,"SPI FLASH","SPI FLASH","AMIC",4096,0,0,"2MB","3300","373015",0,0,,,"YaoJie"
43,"A25L032",4194304,50000,256,"SPI FLASH","SPI FLASH","AMIC",4096,0,0,"4MB","3300","373016",0,0,,,"YaoJie"
44,"A25LQ16",2097152,40000,256,"SPI FLASH","SPI FLASH","AMIC",4096,0,0,"2MB","3300","374015",0,0,,,"YaoJie"
45,"A25LQ32A",4194304,50000,256,"SPI FLASH","SPI FLASH","AMIC",4096,0,0,"4MB","3300","374016",0,0,,,"YaoJie"
46,"AF25BC08",1024,100000,32,"EEPROM","25 EEPROM","APLUS",32,0,0,"1KB","3300","000000",0,1,,,"YaoJie"
47,"AF25BC16",2048,100000,32,"EEPROM","25 EEPROM","APLUS",32,0,0,"2KB","3300","000000",0,1,,,"YaoJie"
48,"AF25BC32",4096,100000,32,"EEPROM","25 EEPROM","APLUS",32,0,0,"4KB","3300","000000",0,1,,,"YaoJie"
49,"AF25BC64",8192,100000,32,"EEPROM","25 EEPROM","APLUS",32,0,0,"8KB","3300","000000",0,1,,,"YaoJie"
50,"AF25BC128",16384,100000,64,"EEPROM","25 EEPROM","APLUS",32,0,0,"16KB","3300","000000",0,1,,,"YaoJie"
51,"AF25BC256",32768,100000,64,"EEPROM","25 EEPROM","APLUS",32,0,0,"32KB","3300","000000",0,1,,,"YaoJie"
52,"AF25BC256",32768,100000,64,"EEPROM","25 EEPROM","APLUS",32,0,0,"32KB","3300","000000",0,1,,,"YaoJie"
53,"BY25D80",1048576,35000,256,"SPI FLASH","SPI FLASH","Boya",4096,0,0,"1MB","3300","684014",0,0,,,"YaoJie"
54,"CAT25010",128,100000,16,"EEPROM","25 EEPROM","CATALYST_CSI",32,0,0,"128B","3300","000000",0,0,,,"YaoJie"
55,"CAT25020",256,100000,16,"EEPROM","25 EEPROM","CATALYST_CSI",32,0,0,"256B","3300","000000",0,0,,,"YaoJie"
56,"CAT25040",512,100000,16,"EEPROM","25 EEPROM","CATALYST_CSI",32,0,0,"512B","3300","000000",0,0,,,"YaoJie"
57,"CAT25080",1024,100000,32,"EEPROM","25 EEPROM","CATALYST_CSI",32,0,0,"1KB","3300","000000",0,1,,,"YaoJie"
58,"CAT25160",2048,100000,32,"EEPROM","25 EEPROM","CATALYST_CSI",32,0,0,"2KB","3300","000000",0,1,,,"YaoJie"
59,"CAT25320",4096,100000,32,"EEPROM","25 EEPROM","CATALYST_CSI",32,0,0,"4KB","3300","000000",0,1,,,"YaoJie"
60,"CAT25640",8192,100000,64,"EEPROM","25 EEPROM","CATALYST_CSI",32,0,0,"8KB","3300","000000",0,1,,,"YaoJie"
61,"CAT25128",16384,100000,64,"EEPROM","25 EEPROM","CATALYST_CSI",32,0,0,"16KB","3300","000000",0,1,,,"YaoJie"
62,"CAT25256",32768,100000,64,"EEPROM","25 EEPROM","CATALYST_CSI",32,0,0,"32KB","3300","000000",0,1,,,"YaoJie"
63,"CAT25C01",128,100000,16,"EEPROM","25 EEPROM","CATALYST_CSI",32,0,0,"128B","3300","000000",0,0,,,"YaoJie"
64,"CAT25C02",256,100000,16,"EEPROM","25 EEPROM","CATALYST_CSI",32,0,0,"256B","3300","000000",0,0,,,"YaoJie"
65,"CAT25C03",256,100000,16,"EEPROM","25 EEPROM","CATALYST_CSI",32,0,0,"256B","3300","000000",0,0,,,"YaoJie"
66,"CAT25C04",512,100000,16,"EEPROM","25 EEPROM","CATALYST_CSI",32,0,0,"512B","3300","000000",0,0,,,"YaoJie"
67,"CAT25C05",512,100000,16,"EEPROM","25 EEPROM","CATALYST_CSI",32,0,0,"512B","3300","000000",0,0,,,"YaoJie"
68,"CAT25C08",1024,100000,32,"EEPROM","25 EEPROM","CATALYST_CSI",32,0,0,"1KB","3300","000000",0,1,,,"YaoJie"
69,"CAT25C09",1024,100000,32,"EEPROM","25 EEPROM","CATALYST_CSI",32,0,0,"1KB","3300","000000",0,1,,,"YaoJie"
70,"CAT25C16",2048,100000,32,"EEPROM","25 EEPROM","CATALYST_CSI",32,0,0,"2KB","3300","000000",0,1,,,"YaoJie"
71,"CAT25C17",2048,100000,32,"EEPROM","25 EEPROM","CATALYST_CSI",32,0,0,"2KB","3300","000000",0,1,,,"YaoJie"
72,"CAT25C32",4096,100000,32,"EEPROM","25 EEPROM","CATALYST_CSI",32,0,0,"4KB","3300","000000",0,1,,,"YaoJie"
73,"CAT25C33",4096,100000,32,"EEPROM","25 EEPROM","CATALYST_CSI",32,0,0,"4KB","3300","000000",0,1,,,"YaoJie"
74,"CAT25C64",8192,100000,64,"EEPROM","25 EEPROM","CATALYST_CSI",32,0,0,"8KB","3300","000000",0,1,,,"YaoJie"
75,"CAT25C65",8192,100000,64,"EEPROM","25 EEPROM","CATALYST_CSI",32,0,0,"8KB","3300","000000",0,1,,,"YaoJie"
76,"CAT25C128",16384,100000,64,"EEPROM","25 EEPROM","CATALYST_CSI",32,0,0,"16KB","3300","000000",0,1,,,"YaoJie"
77,"CAT25C256",32768,100000,64,"EEPROM","25 EEPROM","CATALYST_CSI",32,0,0,"32KB","3300","000000",0,1,,,"YaoJie"
78,"EN25B05",65536,15000,256,"SPI FLASH","SPI FLASH","EON",4096,0,0,"64KB","3300","1C2010",0,0,,,"YaoJie"
79,"EN25B05T",65536,15000,256,"SPI FLASH","SPI FLASH","EON",4096,0,0,"64KB","3300","1C2010",0,0,,,"YaoJie"
80,"EN25B10",131072,20000,256,"SPI FLASH","SPI FLASH","EON",4096,0,0,"128KB","3300","1C2011",0,0,,,"YaoJie"
81,"EN25B10T",131072,20000,256,"SPI FLASH","SPI FLASH","EON",4096,0,0,"128KB","3300","1C2011",0,0,,,"YaoJie"
82,"EN25B20",262144,25000,256,"SPI FLASH","SPI FLASH","EON",4096,0,0,"256KB","3300","1C2012",0,0,,,"YaoJie"
